Human_BIP number	Human_Gene stable ID	Human_Chromosome/scaffold name	Human_Gene start (bp)	Human_Gene end (bp)	Human_Strand	Human_Gene description	Human_Gene name	Human_Gene type	Human_Gene stable ID.1	Human_Chromosome/scaffold name.1	Human_Gene start (bp).1	Human_Gene end (bp).1	Human_Strand.1	Human_Gene description.1	Human_Gene name.1	Human_Gene type.1	Human_distance	Crab-Eating_Macaque_BIP number	Crab-Eating_Macaque_Gene stable ID	Crab-Eating_Macaque_Chromosome/scaffold name	Crab-Eating_Macaque_Gene start (bp)	Crab-Eating_Macaque_Gene end (bp)	Crab-Eating_Macaque_Strand	Crab-Eating_Macaque_Gene description	Crab-Eating_Macaque_Gene name	Crab-Eating_Macaque_Gene type	Crab-Eating_Macaque_Gene stable ID.1	Crab-Eating_Macaque_Chromosome/scaffold name.1	Crab-Eating_Macaque_Gene start (bp).1	Crab-Eating_Macaque_Gene end (bp).1	Crab-Eating_Macaque_Strand.1	Crab-Eating_Macaque_Gene description.1	Crab-Eating_Macaque_Gene name.1	Crab-Eating_Macaque_Gene type.1	Crab-Eating_Macaque_distance	Mouse_Lemur_BIP number	Mouse_Lemur_Gene stable ID	Mouse_Lemur_Chromosome/scaffold name	Mouse_Lemur_Gene start (bp)	Mouse_Lemur_Gene end (bp)	Mouse_Lemur_Strand	Mouse_Lemur_Gene description	Mouse_Lemur_Gene name	Mouse_Lemur_Gene type	Mouse_Lemur_Gene stable ID.1	Mouse_Lemur_Chromosome/scaffold name.1	Mouse_Lemur_Gene start (bp).1	Mouse_Lemur_Gene end (bp).1	Mouse_Lemur_Strand.1	Mouse_Lemur_Gene description.1	Mouse_Lemur_Gene name.1	Mouse_Lemur_Gene type.1	Mouse_Lemur_distance	Bonobo_BIP number	Bonobo_Gene stable ID	Bonobo_Chromosome/scaffold name	Bonobo_Gene start (bp)	Bonobo_Gene end (bp)	Bonobo_Strand	Bonobo_Gene description	Bonobo_Gene name	Bonobo_Gene type	Bonobo_Gene stable ID.1	Bonobo_Chromosome/scaffold name.1	Bonobo_Gene start (bp).1	Bonobo_Gene end (bp).1	Bonobo_Strand.1	Bonobo_Gene description.1	Bonobo_Gene name.1	Bonobo_Gene type.1	Bonobo_distance	Gorilla_BIP number	Gorilla_Gene stable ID	Gorilla_Chromosome/scaffold name	Gorilla_Gene start (bp)	Gorilla_Gene end (bp)	Gorilla_Strand	Gorilla_Gene description	Gorilla_Gene name	Gorilla_Gene type	Gorilla_Gene stable ID.1	Gorilla_Chromosome/scaffold name.1	Gorilla_Gene start (bp).1	Gorilla_Gene end (bp).1	Gorilla_Strand.1	Gorilla_Gene description.1	Gorilla_Gene name.1	Gorilla_Gene type.1	Gorilla_distance	Chimpanzee_BIP number	Chimpanzee_Gene stable ID	Chimpanzee_Chromosome/scaffold name	Chimpanzee_Gene start (bp)	Chimpanzee_Gene end (bp)	Chimpanzee_Strand	Chimpanzee_Gene description	Chimpanzee_Gene name	Chimpanzee_Gene type	Chimpanzee_Gene stable ID.1	Chimpanzee_Chromosome/scaffold name.1	Chimpanzee_Gene start (bp).1	Chimpanzee_Gene end (bp).1	Chimpanzee_Strand.1	Chimpanzee_Gene description.1	Chimpanzee_Gene name.1	Chimpanzee_Gene type.1	Chimpanzee_distance	Vervet-Agm_BIP number	Vervet-Agm_Gene stable ID	Vervet-Agm_Chromosome/scaffold name	Vervet-Agm_Gene start (bp)	Vervet-Agm_Gene end (bp)	Vervet-Agm_Strand	Vervet-Agm_Gene description	Vervet-Agm_Gene name	Vervet-Agm_Gene type	Vervet-Agm_Gene stable ID.1	Vervet-Agm_Chromosome/scaffold name.1	Vervet-Agm_Gene start (bp).1	Vervet-Agm_Gene end (bp).1	Vervet-Agm_Strand.1	Vervet-Agm_Gene description.1	Vervet-Agm_Gene name.1	Vervet-Agm_Gene type.1	Vervet-Agm_distance	Olive_Baboon_BIP number	Olive_Baboon_Gene stable ID	Olive_Baboon_Chromosome/scaffold name	Olive_Baboon_Gene start (bp)	Olive_Baboon_Gene end (bp)	Olive_Baboon_Strand	Olive_Baboon_Gene description	Olive_Baboon_Gene name	Olive_Baboon_Gene type	Olive_Baboon_Gene stable ID.1	Olive_Baboon_Chromosome/scaffold name.1	Olive_Baboon_Gene start (bp).1	Olive_Baboon_Gene end (bp).1	Olive_Baboon_Strand.1	Olive_Baboon_Gene description.1	Olive_Baboon_Gene name.1	Olive_Baboon_Gene type.1	Olive_Baboon_distance	Sumatran_Orangutan_BIP number	Sumatran_Orangutan_Gene stable ID	Sumatran_Orangutan_Chromosome/scaffold name	Sumatran_Orangutan_Gene start (bp)	Sumatran_Orangutan_Gene end (bp)	Sumatran_Orangutan_Strand	Sumatran_Orangutan_Gene description	Sumatran_Orangutan_Gene name	Sumatran_Orangutan_Gene type	Sumatran_Orangutan_Gene stable ID.1	Sumatran_Orangutan_Chromosome/scaffold name.1	Sumatran_Orangutan_Gene start (bp).1	Sumatran_Orangutan_Gene end (bp).1	Sumatran_Orangutan_Strand.1	Sumatran_Orangutan_Gene description.1	Sumatran_Orangutan_Gene name.1	Sumatran_Orangutan_Gene type.1	Sumatran_Orangutan_distance	Gibbon_BIP number	Gibbon_Gene stable ID	Gibbon_Chromosome/scaffold name	Gibbon_Gene start (bp)	Gibbon_Gene end (bp)	Gibbon_Strand	Gibbon_Gene description	Gibbon_Gene name	Gibbon_Gene type	Gibbon_Gene stable ID.1	Gibbon_Chromosome/scaffold name.1	Gibbon_Gene start (bp).1	Gibbon_Gene end (bp).1	Gibbon_Strand.1	Gibbon_Gene description.1	Gibbon_Gene name.1	Gibbon_Gene type.1	Gibbon_distance
1323	ENSG00000188603	16	28474111	28495575	-1	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	CLN3	protein_coding	ENSG00000184730	16	28494643	28498964	1	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	APOBR	protein_coding	932																																																							543	ENSGGOG00000015016	16	28862016	28881281	-1	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	CLN3	protein_coding	ENSGGOG00000001087	16	28882269	28886169	1	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	APOBR	protein_coding	988																																																																																										
1473	ENSG00000167513	16	88803789	88809258	1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	CDT1	protein_coding	ENSG00000198931	16	88809339	88811937	-1	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	APRT	protein_coding	81																																																							601	ENSGGOG00000012628	16	80078997	80084564	1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	CDT1	protein_coding	ENSGGOG00000012638	16	80084775	80087253	-1	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	APRT	protein_coding	211	661	ENSPTRG00000008465	16	80143979	80149645	1	chromatin licensing and DNA replication factor 1 [Source:VGNC Symbol;Acc:VGNC:5723]	CDT1	protein_coding	ENSPTRG00000008466	16	80149856	80152357	-1	adenine phosphoribosyltransferase [Source:VGNC Symbol;Acc:VGNC:5673]	APRT	protein_coding	211																																					593	ENSPPYG00000007651	16	66950075	66955602	1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	CDT1	protein_coding	ENSPPYG00000007652	16	66956065	66958541	-1	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	APRT	protein_coding	463																		
2354	ENSG00000089048	20	13714322	13784919	-1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	ESF1	protein_coding	ENSG00000101247	20	13785007	13821580	1	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]	NDUFAF5	protein_coding	88																																																							788	ENSGGOG00000006692	20	13868904	13938586	-1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	ESF1	protein_coding	ENSGGOG00000006702	20	13938540	13971156	1	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]	NDUFAF5	protein_coding	46	954	ENSPTRG00000013258	20	13608350	13678601	-1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:VGNC Symbol;Acc:VGNC:9855]	ESF1	protein_coding	ENSPTRG00000013259	20	13678645	13718595	1	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:VGNC Symbol;Acc:VGNC:6208]	NDUFAF5	protein_coding	44																																					854	ENSPPYG00000010715	20	8311581	8380109	-1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	ESF1	protein_coding	ENSPPYG00000010716	20	8379786	8414378	1	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:NCBI gene (formerly Entrezgene);Acc:100172355]	NDUFAF5	protein_coding	323	86	ENSNLEG00000014563	11	8223111	8285704	-1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	ESF1	protein_coding	ENSNLEG00000014575	11	8285773	8317990	1	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]	NDUFAF5	protein_coding	69
2483	ENSG00000160193	21	42843094	42879568	-1	WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]	WDR4	protein_coding	ENSG00000160194	21	42879644	42913304	1	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	NDUFV3	protein_coding	76																																																							824	ENSGGOG00000016652	21	34006353	34038383	-1	WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]	WDR4	protein_coding	ENSGGOG00000014547	21	34038472	34067547	1	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	NDUFV3	protein_coding	89																																																							898	ENSPPYG00000011458	21	30681961	30712521	-1	WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]	WDR4	protein_coding	ENSPPYG00000011459	21	30712606	30897065	1	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	NDUFV3	protein_coding	85																		
3242	ENSG00000137221	6	43477523	43506556	1	tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]	TJAP1	protein_coding	ENSG00000204052	6	43506968	43510346	-1	leucine rich repeat containing 73 [Source:HGNC Symbol;Acc:HGNC:21375]	LRRC73	protein_coding	412																																																							1157	ENSGGOG00000015185	6	44297835	44326540	1	tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]	TJAP1	protein_coding	ENSGGOG00000015189	6	44326953	44330378	-1	leucine rich repeat containing 73 [Source:HGNC Symbol;Acc:HGNC:21375]	LRRC73	protein_coding	413	1283	ENSPTRG00000018199	6	43986570	44015587	1	tight junction associated protein 1 [Source:VGNC Symbol;Acc:VGNC:8571]	TJAP1	protein_coding	ENSPTRG00000034451	6	44016002	44020535	-1	leucine rich repeat containing 73 [Source:VGNC Symbol;Acc:VGNC:3372]	LRRC73	protein_coding	415																																																																								
198	ENSG00000186063	1	222668013	222713210	-1	axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]	AIDA	protein_coding	ENSG00000162819	1	222712553	222735196	1	BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]	BROX	protein_coding	657																																																																									169	ENSPTRG00000002010	1	201808166	201852527	-1	axin interactor, dorsalization associated [Source:VGNC Symbol;Acc:VGNC:59]	AIDA	protein_coding	ENSPTRG00000002012	1	201852569	201872927	1	BRO1 domain and CAAX motif containing [Source:VGNC Symbol;Acc:VGNC:4974]	BROX	protein_coding	42																																																																								
976	ENSG00000100575	14	58408495	58427531	-1	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	TIMM9	protein_coding	ENSG00000100578	14	58427385	58551297	1	KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]	KIAA0586	protein_coding	146																																																																									475	ENSPTRG00000006394	14	42659163	42678313	-1	translocase of inner mitochondrial membrane 9 [Source:VGNC Symbol;Acc:VGNC:9051]	TIMM9	protein_coding	ENSPTRG00000006395	14	42678356	42797744	1	KIAA0586 [Source:VGNC Symbol;Acc:VGNC:3400]	KIAA0586	protein_coding	43																																					426	ENSPPYG00000005859	14	39760890	39779527	-1	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	TIMM9	protein_coding	ENSPPYG00000005860	14	39780085	39906653	1	KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]	KIAA0586	protein_coding	558																		
1541	ENSG00000214941	17	15976560	15999717	-1	zinc finger SWIM-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26993]	ZSWIM7	protein_coding	ENSG00000011295	17	15999784	16045015	1	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]	TTC19	protein_coding	67																																																																									734	ENSPTRG00000047756	17	38279427	38301434	-1	zinc finger SWIM-type containing 7 [Source:VGNC Symbol;Acc:VGNC:14551]	ZSWIM7	protein_coding	ENSPTRG00000008807	17	38301044	38330458	1	tetratricopeptide repeat domain 19 [Source:VGNC Symbol;Acc:VGNC:14549]	TTC19	protein_coding	390																			461	ENSPANG00000023704	17	15611148	15633178	-1			protein_coding	ENSPANG00000023712	17	15632801	15661990	1	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]	TTC19	protein_coding	377	632	ENSPPYG00000008011	17	16047126	16069056	-1	zinc finger SWIM-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26993]	ZSWIM7	protein_coding	ENSPPYG00000008012	17	16069200	16096847	1	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]	TTC19	protein_coding	144	545	ENSNLEG00000031243	19	65332740	65355394	-1	zinc finger SWIM-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26993]	ZSWIM7	protein_coding	ENSNLEG00000014808	19	65355554	65384807	1	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]	TTC19	protein_coding	160
2046	ENSG00000104881	19	45379638	45406349	-1	protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	PPP1R13L	protein_coding	ENSG00000117877	19	45406644	45410737	1	RNA polymerase I subunit G [Source:HGNC Symbol;Acc:HGNC:24219]	POLR1G	protein_coding	295																																																																									913	ENSPTRG00000011150	19	47494922	47520759	-1	protein phosphatase 1 regulatory subunit 13 like [Source:VGNC Symbol;Acc:VGNC:3620]	PPP1R13L	protein_coding	ENSPTRG00000011151	19	47520797	47525579	1	RNA polymerase I subunit G [Source:VGNC Symbol;Acc:VGNC:6616]	POLR1G	protein_coding	38																																																																								
2562	ENSG00000183765	22	28687743	28742422	-1	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	CHEK2	protein_coding	ENSG00000100209	22	28742039	28757515	1	HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913]	HSCB	protein_coding	383																																																																									1017	ENSPTRG00000014206	22	15221325	15275643	-1	checkpoint kinase 2 [Source:VGNC Symbol;Acc:VGNC:12828]	CHEK2	protein_coding	ENSPTRG00000014208	22	15275735	15291029	1	HscB mitochondrial iron-sulfur cluster cochaperone [Source:VGNC Symbol;Acc:VGNC:9923]	HSCB	protein_coding	92																																					918	ENSPPYG00000011675	22	12776450	12831292	-1	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	CHEK2	protein_coding	ENSPPYG00000011676	22	12831485	12846821	1	HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913]	HSCB	protein_coding	193																		
3734	ENSG00000137055	9	26903372	26947242	-1	phospholipase A2 activating protein [Source:HGNC Symbol;Acc:HGNC:9043]	PLAA	protein_coding	ENSG00000096872	9	26947039	27066134	1	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]	IFT74	protein_coding	203																																																																									1416	ENSPTRG00000020832	9	27522687	27566673	-1	phospholipase A2 activating protein [Source:VGNC Symbol;Acc:VGNC:9187]	PLAA	protein_coding	ENSPTRG00000020833	9	27566521	27682163	1	intraflagellar transport 74 [Source:VGNC Symbol;Acc:VGNC:4762]	IFT74	protein_coding	152																																																																								
1324	ENSG00000184730	16	28494643	28498964	1	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	APOBR	protein_coding	ENSG00000197272	16	28499362	28512051	-1	interleukin 27 [Source:HGNC Symbol;Acc:HGNC:19157]	IL27	protein_coding	398																																																																																											684	ENSCSAG00000006282	5	26342806	26348837	1	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	APOBR	protein_coding	ENSCSAG00000006276	5	26348848	26356360	-1	interleukin 27 [Source:HGNC Symbol;Acc:HGNC:19157]	IL27	protein_coding	11																																																						
660	ENSG00000118307	12	25108289	25195162	-1	dynein axonemal intermediate chain 7 [Source:HGNC Symbol;Acc:HGNC:29599]	DNAI7	protein_coding	ENSG00000205707	12	25195216	25209645	1	electron transfer flavoprotein regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:27052]	ETFRF1	protein_coding	54																																																																																																													1077	ENSPANG00000003393	9	23981466	24062076	-1	dynein axonemal intermediate chain 7 [Source:HGNC Symbol;Acc:HGNC:29599]	DNAI7	protein_coding	ENSPANG00000044084	9	24062287	24071687	1	electron transfer flavoprotein regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:27052]	ETFRF1	protein_coding	211																																				
3194	ENSG00000204444	6	31652416	31658210	1	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	APOM	protein_coding	ENSG00000204439	6	31658298	31660778	-1	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	C6orf47	protein_coding	88																																																																																																																															1129	ENSPPYG00000035537	6	31942244	31949002	1	apolipoprotein M [Source:NCBI gene (formerly Entrezgene);Acc:100173132]	APOM	protein_coding	ENSPPYG00000016446	6	31949130	31951501	-1	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	C6orf47	protein_coding	128																		
