Chicken_BIP number,Chicken_Gene stable ID,Chicken_Chromosome/scaffold name,Chicken_Gene start (bp),Chicken_Gene end (bp),Chicken_Strand,Chicken_Gene description,Chicken_Gene name,Chicken_Gene type,Chicken_Gene stable ID.1,Chicken_Chromosome/scaffold name.1,Chicken_Gene start (bp).1,Chicken_Gene end (bp).1,Chicken_Strand.1,Chicken_Gene description.1,Chicken_Gene name.1,Chicken_Gene type.1,Chicken_distance,Great_Tit_BIP number,Great_Tit_Gene stable ID,Great_Tit_Chromosome/scaffold name,Great_Tit_Gene start (bp),Great_Tit_Gene end (bp),Great_Tit_Strand,Great_Tit_Gene description,Great_Tit_Gene name,Great_Tit_Gene type,Great_Tit_Gene stable ID.1,Great_Tit_Chromosome/scaffold name.1,Great_Tit_Gene start (bp).1,Great_Tit_Gene end (bp).1,Great_Tit_Strand.1,Great_Tit_Gene description.1,Great_Tit_Gene name.1,Great_Tit_Gene type.1,Great_Tit_distance,Zebra_Finch_BIP number,Zebra_Finch_Gene stable ID,Zebra_Finch_Chromosome/scaffold name,Zebra_Finch_Gene start (bp),Zebra_Finch_Gene end (bp),Zebra_Finch_Strand,Zebra_Finch_Gene description,Zebra_Finch_Gene name,Zebra_Finch_Gene type,Zebra_Finch_Gene stable ID.1,Zebra_Finch_Chromosome/scaffold name.1,Zebra_Finch_Gene start (bp).1,Zebra_Finch_Gene end (bp).1,Zebra_Finch_Strand.1,Zebra_Finch_Gene description.1,Zebra_Finch_Gene name.1,Zebra_Finch_Gene type.1,Zebra_Finch_distance,Duck_BIP number,Duck_Gene stable ID,Duck_Chromosome/scaffold name,Duck_Gene start (bp),Duck_Gene end (bp),Duck_Strand,Duck_Gene description,Duck_Gene name,Duck_Gene type,Duck_Gene stable ID.1,Duck_Chromosome/scaffold name.1,Duck_Gene start (bp).1,Duck_Gene end (bp).1,Duck_Strand.1,Duck_Gene description.1,Duck_Gene name.1,Duck_Gene type.1,Duck_distance,Turkey_BIP number,Turkey_Gene stable ID,Turkey_Chromosome/scaffold name,Turkey_Gene start (bp),Turkey_Gene end (bp),Turkey_Strand,Turkey_Gene description,Turkey_Gene name,Turkey_Gene type,Turkey_Gene stable ID.1,Turkey_Chromosome/scaffold name.1,Turkey_Gene start (bp).1,Turkey_Gene end (bp).1,Turkey_Strand.1,Turkey_Gene description.1,Turkey_Gene name.1,Turkey_Gene type.1,Turkey_distance,Kakapo_BIP number,Kakapo_Gene stable ID,Kakapo_Chromosome/scaffold name,Kakapo_Gene start (bp),Kakapo_Gene end (bp),Kakapo_Strand,Kakapo_Gene description,Kakapo_Gene name,Kakapo_Gene type,Kakapo_Gene stable ID.1,Kakapo_Chromosome/scaffold name.1,Kakapo_Gene start (bp).1,Kakapo_Gene end (bp).1,Kakapo_Strand.1,Kakapo_Gene description.1,Kakapo_Gene name.1,Kakapo_Gene type.1,Kakapo_distance,Golden_Eagle_BIP number,Golden_Eagle_Gene stable ID,Golden_Eagle_Chromosome/scaffold name,Golden_Eagle_Gene start (bp),Golden_Eagle_Gene end (bp),Golden_Eagle_Strand,Golden_Eagle_Gene description,Golden_Eagle_Gene name,Golden_Eagle_Gene type,Golden_Eagle_Gene stable ID.1,Golden_Eagle_Chromosome/scaffold name.1,Golden_Eagle_Gene start (bp).1,Golden_Eagle_Gene end (bp).1,Golden_Eagle_Strand.1,Golden_Eagle_Gene description.1,Golden_Eagle_Gene name.1,Golden_Eagle_Gene type.1,Golden_Eagle_distance,Japanese_Quail_BIP number,Japanese_Quail_Gene stable ID,Japanese_Quail_Chromosome/scaffold name,Japanese_Quail_Gene start (bp),Japanese_Quail_Gene end (bp),Japanese_Quail_Strand,Japanese_Quail_Gene description,Japanese_Quail_Gene name,Japanese_Quail_Gene type,Japanese_Quail_Gene stable ID.1,Japanese_Quail_Chromosome/scaffold name.1,Japanese_Quail_Gene start (bp).1,Japanese_Quail_Gene end (bp).1,Japanese_Quail_Strand.1,Japanese_Quail_Gene description.1,Japanese_Quail_Gene name.1,Japanese_Quail_Gene type.1,Japanese_Quail_distance,Collared_Flycatcher_BIP number,Collared_Flycatcher_Gene stable ID,Collared_Flycatcher_Chromosome/scaffold name,Collared_Flycatcher_Gene start (bp),Collared_Flycatcher_Gene end (bp),Collared_Flycatcher_Strand,Collared_Flycatcher_Gene description,Collared_Flycatcher_Gene name,Collared_Flycatcher_Gene type,Collared_Flycatcher_Gene stable ID.1,Collared_Flycatcher_Chromosome/scaffold name.1,Collared_Flycatcher_Gene start (bp).1,Collared_Flycatcher_Gene end (bp).1,Collared_Flycatcher_Strand.1,Collared_Flycatcher_Gene description.1,Collared_Flycatcher_Gene name.1,Collared_Flycatcher_Gene type.1,Collared_Flycatcher_distance
1094,ENSGALG00010028355,17,9343108,9353882,-1,RNA binding motif protein 18 [Source:HGNC Symbol;Acc:HGNC:28413],RBM18,protein_coding,ENSGALG00010028366,17,9353910,9365225,1,mitochondrial ribosome recycling factor pseudo 1 [Source:NCBI gene (formerly Entrezgene);Acc:417110],MRRFP1,protein_coding,28,,,,,,,,,,,,,,,,,,,621,ENSTGUG00000029059,17,10044570,10055908,-1,RNA binding motif protein 18 [Source:NCBI gene;Acc:100229763],RBM18,protein_coding,ENSTGUG00000022064,17,10055924,10069389,1,mitochondrial ribosome recycling factor [Source:NCBI gene;Acc:100231780],MRRF,protein_coding,16,,,,,,,,,,,,,,,,,,,387,ENSMGAG00000016888,19,8572019,8581116,-1,RNA binding motif protein 18 [Source:HGNC Symbol;Acc:HGNC:28413],RBM18,protein_coding,ENSMGAG00000022984,19,8581444,8591452,1,mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234],MRRF,protein_coding,328,1933,ENSSHBG00005013223,18,2390115,2402589,-1,RNA binding motif protein 18 [Source:NCBI gene;Acc:115617239],RBM18,protein_coding,ENSSHBG00005013229,18,2402165,2416244,1,mitochondrial ribosome recycling factor [Source:NCBI gene;Acc:115617236],MRRF,protein_coding,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,ENSGALG00010008255,2,88703680,88712938,-1,Myb/SANT DNA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23370],C2H9ORF30,protein_coding,ENSGALG00010008298,2,88713282,88740652,1,,,protein_coding,344,,,,,,,,,,,,,,,,,,,850,ENSTGUG00000008752,2,90951462,90961435,-1,Myb/SANT DNA binding domain containing 3 [Source:NCBI gene;Acc:100232023],MSANTD3,protein_coding,ENSTGUG00000008753,2,90961621,90981362,1,uncharacterized LOC100228270 [Source:NCBI gene;Acc:100228270],,protein_coding,186,398,ENSAPLG00000013833,2,94367418,94374376,-1,Myb/SANT DNA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23370],MSANTD3,protein_coding,ENSAPLG00000013907,2,94374397,94395701,1,,,protein_coding,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,ENSGALG00010001457,2,100795194,100814091,-1,"NDC80, kinetochore complex component [Source:NCBI gene (formerly Entrezgene);Acc:395134]",NDC80,protein_coding,ENSGALG00010001507,2,100813989,100831670,1,"methyltransferase 4, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:24726]",METTL4,protein_coding,102,,,,,,,,,,,,,,,,,,,861,ENSTGUG00000010126,2,102989464,103006832,-1,NDC80 kinetochore complex component [Source:NCBI gene;Acc:100226934],NDC80,protein_coding,ENSTGUG00000010144,2,103006849,103025570,1,methyltransferase like 4 [Source:NCBI gene;Acc:100227922],METTL4,protein_coding,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,ENSGALG00010007970,3,39434486,39439277,-1,SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356],SPRTN,protein_coding,ENSGALG00010007972,3,39439108,39444688,1,exocyst complex component 8 [Source:NCBI gene (formerly Entrezgene);Acc:421531],EXOC8,protein_coding,169,,,,,,,,,,,,,,,,,,,1164,ENSTGUG00000010080,3,71181986,71190079,-1,SprT-like N-terminal domain [Source:NCBI gene;Acc:100229893],SPRTN,protein_coding,ENSTGUG00000018403,3,71190320,71196144,1,exocyst complex component 8 [Source:NCBI gene;Acc:100219309],EXOC8,protein_coding,241,,,,,,,,,,,,,,,,,,,421,ENSMGAG00000011993,2,38684836,38688998,-1,SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356],SPRTN,protein_coding,ENSMGAG00000011998,2,38688378,38690899,1,exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659],EXOC8,protein_coding,620,,,,,,,,,,,,,,,,,,,321,ENSACCG00020004901,13,32428840,32436867,-1,SprT-like N-terminal domain [Source:NCBI gene;Acc:115349841],SPRTN,protein_coding,ENSACCG00020004907,13,32437206,32442384,1,exocyst complex component 8 [Source:NCBI gene;Acc:115350252],EXOC8,protein_coding,339,755,ENSCJPG00005003825,3,35753241,35756548,-1,SprT-like N-terminal domain [Source:NCBI gene;Acc:107311388],SPRTN,protein_coding,ENSCJPG00005003826,3,35756651,35759155,1,exocyst complex component 8 [Source:NCBI gene;Acc:107311387],EXOC8,protein_coding,103,,,,,,,,,,,,,,,,,,
2102,ENSGALG00010007294,4,39325128,39350434,-1,trafficking protein particle complex 11 [Source:NCBI gene (formerly Entrezgene);Acc:428748],TRAPPC11,protein_coding,ENSGALG00010007326,4,39349797,39361175,1,RWD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23750],RWDD4,protein_coding,637,,,,,,,,,,,,,,,,,,,1307,ENSTGUG00000006590,4,32515921,32539286,-1,trafficking protein particle complex 11 [Source:NCBI gene;Acc:100221248],TRAPPC11,protein_coding,ENSTGUG00000006580,4,32539455,32547171,1,RWD domain containing 4 [Source:NCBI gene;Acc:100224125],RWDD4,protein_coding,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,ENSSHBG00005013088,8,34166156,34191362,-1,trafficking protein particle complex 11 [Source:NCBI gene;Acc:115610955],TRAPPC11,protein_coding,ENSSHBG00005013100,8,34191521,34199075,1,RWD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23750],RWDD4,protein_coding,159,26,ENSACCG00020010191,1,37088264,37117444,-1,trafficking protein particle complex 11 [Source:NCBI gene;Acc:115342941],TRAPPC11,protein_coding,ENSACCG00020010211,1,37117765,37124410,1,RWD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23750],RWDD4,protein_coding,321,861,ENSCJPG00005009608,4,35192471,35215999,-1,trafficking protein particle complex 11 [Source:NCBI gene;Acc:107313314],TRAPPC11,protein_coding,ENSCJPG00005009609,4,35216060,35308204,1,RWD domain containing 4 [Source:NCBI gene;Acc:107313308],RWDD4,protein_coding,61,,,,,,,,,,,,,,,,,,
2305,ENSGALG00010022513,5,24103437,24112434,-1,NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828],NDUFAF1,protein_coding,ENSGALG00010022521,5,24112463,24140886,1,"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:28996]",RTF1,protein_coding,29,,,,,,,,,,,,,,,,,,,1432,ENSTGUG00000010829,5,24567662,24575182,-1,"Taeniopygia guttata NADH:ubiquinone oxidoreductase complex assembly factor 1 (NDUFAF1), mRNA. [Source:RefSeq mRNA;Acc:NM_001245502]",NDUFAF1,protein_coding,ENSTGUG00000010837,5,24575243,24602713,1,"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:28996]",RTF1,protein_coding,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,ENSSHBG00005001516,5,7277039,7286828,-1,NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:NCBI gene;Acc:115606160],NDUFAF1,protein_coding,ENSSHBG00005001549,5,7286895,7323389,1,"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:NCBI gene;Acc:115606161]",RTF1,protein_coding,67,,,,,,,,,,,,,,,,,,,936,ENSCJPG00005014420,5,21996726,22001682,-1,NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:NCBI gene;Acc:107314732],NDUFAF1,protein_coding,ENSCJPG00005014421,5,22002309,22027047,1,"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:NCBI gene;Acc:107314726]",RTF1,protein_coding,627,,,,,,,,,,,,,,,,,,
2319,ENSGALG00010020008,5,28474553,28486574,-1,eukaryotic translation initiation factor 2 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:423279],EIF2S1,protein_coding,ENSGALG00010020015,5,28486581,28494519,1,ATPase H+ transporting V1 subunit D [Source:NCBI gene (formerly Entrezgene);Acc:423280],ATP6V1D,protein_coding,7,,,,,,,,,,,,,,,,,,,1451,ENSTGUG00000011542,5,29264362,29278112,-1,eukaryotic translation initiation factor 2 subunit alpha [Source:NCBI gene;Acc:100190668],EIF2S1,protein_coding,ENSTGUG00000011556,5,29278322,29288931,1,ATPase H+ transporting V1 subunit D [Source:NCBI gene;Acc:100218128],ATP6V1D,protein_coding,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,ENSGALG00010020682,6,23132632,23138564,-1,zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714],ZDHHC16,protein_coding,ENSGALG00010020705,6,23138740,23140437,1,exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286],EXOSC1,protein_coding,176,,,,,,,,,,,,,,,,,,,1564,ENSTGUG00000009668,6,21302637,21308580,-1,zinc finger DHHC-type containing 16 [Source:NCBI gene;Acc:100222845],ZDHHC16,protein_coding,ENSTGUG00000009692,6,21308730,21310985,1,exosome component 1 [Source:NCBI gene;Acc:100221784],EXOSC1,protein_coding,150,,,,,,,,,,,,,,,,,,,734,ENSMGAG00000009803,8,21702847,21707054,-1,zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714],ZDHHC16,protein_coding,ENSMGAG00000018256,8,21707077,21709178,1,exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286],EXOSC1,protein_coding,23,984,ENSSHBG00005020956,6,67343316,67349132,-1,zinc finger DHHC-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20714],ZDHHC16,protein_coding,ENSSHBG00005020963,6,67349286,67351506,1,exosome component 1 [Source:NCBI gene;Acc:115608266],EXOSC1,protein_coding,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,ENSGALG00010002445,6,33276669,33298878,1,erythroid differentiation regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:24640],EDRF1,protein_coding,ENSGALG00010002466,6,33298590,33314226,-1,uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592],UROS,protein_coding,288,,,,,,,,,,,,,,,,,,,1590,ENSTGUG00000011472,6,32104451,32125563,1,erythroid differentiation regulatory factor 1 [Source:NCBI gene;Acc:100231119],EDRF1,protein_coding,ENSTGUG00000011481,6,32126405,32136385,-1,uroporphyrinogen III synthase [Source:NCBI gene;Acc:100222432],UROS,protein_coding,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2857,ENSGALG00010001301,9,22639467,22661347,-1,guanine monophosphate synthase [Source:NCBI gene (formerly Entrezgene);Acc:425028],GMPS,protein_coding,ENSGALG00010001066,9,22662113,22673439,1,solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95],SLC33A1,protein_coding,766,,,,,,,,,,,,,,,,,,,1846,ENSTGUG00000011256,9,24670212,24699830,-1,guanine monophosphate synthase [Source:NCBI gene;Acc:100227486],GMPS,protein_coding,ENSTGUG00000011271,9,24700422,24710485,1,solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95],SLC33A1,protein_coding,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,ENSCJPG00005018125,9,20377703,20399531,-1,guanine monophosphate synthase [Source:NCBI gene;Acc:107318407],GMPS,protein_coding,ENSCJPG00005018128,9,20399257,20408000,1,solute carrier family 33 member 1 [Source:NCBI gene;Acc:107318408],SLC33A1,protein_coding,274,,,,,,,,,,,,,,,,,,
2898,ENSGALG00010011456,Z,7368296,7550046,-1,KIAA1328 [Source:NCBI gene (formerly Entrezgene);Acc:426890],KIAA1328,protein_coding,ENSGALG00010011458,Z,7550043,7574252,1,tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561],TPGS2,protein_coding,3,,,,,,,,,,,,,,,,,,,1897,ENSTGUG00000001654,Z,45725055,45900833,-1,KIAA1328 ortholog [Source:NCBI gene;Acc:100231968],KIAA1328,protein_coding,ENSTGUG00000001655,Z,45900654,45922483,1,tubulin polyglutamylase complex subunit 2 [Source:NCBI gene;Acc:100230926],TPGS2,protein_coding,179,,,,,,,,,,,,,,,,,,,784,ENSMGAG00000008415,Z,6046999,6199058,-1,KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248],KIAA1328,protein_coding,ENSMGAG00000001661,Z,6199042,6221699,1,tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561],TPGS2,protein_coding,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2957,ENSGALG00010011572,Z,25801429,25819913,-1,pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734],PTCD2,protein_coding,ENSGALG00010011649,Z,25819642,25866655,1,mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512],MRPS27,protein_coding,271,,,,,,,,,,,,,,,,,,,1931,ENSTGUG00000005705,Z,66956253,66971534,-1,pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734],PTCD2,protein_coding,ENSTGUG00000005691,Z,66970992,67013419,1,mitochondrial ribosomal protein S27 [Source:NCBI gene;Acc:100223610],MRPS27,protein_coding,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179,ENSCJPG00005002087,Z,23029520,23042148,-1,pentatricopeptide repeat domain 2 [Source:NCBI gene;Acc:107306055],PTCD2,protein_coding,ENSCJPG00005002094,Z,23042169,23084573,1,mitochondrial ribosomal protein S27 [Source:NCBI gene;Acc:107306054],MRPS27,protein_coding,21,836,ENSFALG00000010299,Z,26256358,26272833,-1,pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734],PTCD2,protein_coding,ENSFALG00000010306,Z,26271873,26314833,1,mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512],MRPS27,protein_coding,960
43,ENSGALG00010010191,1,14197181,14209309,1,RAD50 interactor 1 [Source:NCBI gene (formerly Entrezgene);Acc:427848],RINT1,protein_coding,ENSGALG00010010196,1,14208613,14210775,-1,EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531],EFCAB10,protein_coding,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,ENSAPLG00000005381,1,13454520,13464312,1,RAD50 interactor 1 [Source:HGNC Symbol;Acc:HGNC:21876],RINT1,protein_coding,ENSAPLG00000005904,1,13465176,13466153,-1,EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531],EFCAB10,protein_coding,864,,,,,,,,,,,,,,,,,,,493,ENSSHBG00005011370,4,13452995,13464931,1,RAD50 interactor 1 [Source:NCBI gene;Acc:115605437],RINT1,protein_coding,ENSSHBG00005011390,4,13465385,13467014,-1,EF-hand calcium binding domain 10 [Source:NCBI gene;Acc:115605438],EFCAB10,protein_coding,454,796,ENSACCG00020008920,5,15184373,15197842,1,RAD50 interactor 1 [Source:NCBI gene;Acc:115342105],RINT1,protein_coding,ENSACCG00020008938,5,15197736,15198691,-1,EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531],EFCAB10,protein_coding,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ENSGALG00010008183,1,15876888,15884610,-1,"ALG10, alpha-1,2-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:426734]",ALG10,protein_coding,ENSGALG00010008199,1,15884069,15890576,1,TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259],TPRKB,protein_coding,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ENSAPLG00000016352,1,15271451,15277063,-1,,,protein_coding,ENSAPLG00000002009,1,15276726,15278655,1,TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259],TPRKB,protein_coding,337,,,,,,,,,,,,,,,,,,,498,ENSSHBG00005013337,4,15267515,15272454,-1,,,protein_coding,ENSSHBG00005013347,4,15271957,15276586,1,TP53RK binding protein [Source:NCBI gene;Acc:115605350],TPRKB,protein_coding,497,798,ENSACCG00020010114,5,17152739,17157541,-1,"putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase [Source:NCBI gene;Acc:115341947]",,protein_coding,ENSACCG00020010121,5,17157433,17160345,1,TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259],TPRKB,protein_coding,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,ENSGALG00010024696,11,2463117,2477435,-1,TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030],TRADD,protein_coding,ENSGALG00010024699,11,2476658,2481035,1,F-box and leucine rich repeat protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:415701],FBXL8,protein_coding,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,ENSAPLG00000028061,12,3976011,3987092,-1,TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030],TRADD,protein_coding,ENSAPLG00000005390,12,3986631,3992251,1,F-box and leucine rich repeat protein 8 [Source:HGNC Symbol;Acc:HGNC:17875],FBXL8,protein_coding,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,ENSGALG00010024854,15,5072327,5074822,-1,C12orf65 homolog [Source:NCBI gene (formerly Entrezgene);Acc:416827],C12orf65,protein_coding,ENSGALG00010024864,15,5075177,5099725,1,M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215],MPHOSPH9,protein_coding,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,ENSAPLG00000016073,16,11536357,11542883,-1,chromosome 12 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:26784],MTRFR,protein_coding,ENSAPLG00000016075,16,11543803,11568684,1,M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215],MPHOSPH9,protein_coding,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,ENSGALG00010021296,15,9296274,9298550,-1,glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068],GATC,protein_coding,ENSGALG00010021311,15,9298346,9301001,1,TP53 regulated inhibitor of apoptosis 1 [Source:NCBI gene (formerly Entrezgene);Acc:416977],TRIAP1,protein_coding,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,ENSAPLG00000017939,16,7274902,7278243,-1,glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068],GATC,protein_coding,ENSAPLG00000027294,16,7278350,7278861,1,TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937],TRIAP1,protein_coding,107,,,,,,,,,,,,,,,,,,,1603,ENSSHBG00005011044,12,11404364,11406663,-1,glutamyl-tRNA amidotransferase subunit C [Source:NCBI gene;Acc:115614438],GATC,protein_coding,ENSSHBG00005011071,12,11406667,11409500,1,TP53 regulated inhibitor of apoptosis 1 [Source:NCBI gene;Acc:115614443],TRIAP1,protein_coding,4,1149,ENSACCG00020007663,9,40936399,40938737,-1,glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068],GATC,protein_coding,ENSACCG00020007684,9,40938351,40939018,1,TP53 regulated inhibitor of apoptosis 1 [Source:NCBI gene;Acc:115345458],TRIAP1,protein_coding,386,403,ENSCJPG00005013378,15,8237131,8240810,-1,glutamyl-tRNA amidotransferase subunit C [Source:NCBI gene;Acc:107321364],GATC,protein_coding,ENSCJPG00005013394,15,8240880,8241283,1,TP53 regulated inhibitor of apoptosis 1 [Source:NCBI gene;Acc:107321371],TRIAP1,protein_coding,70,,,,,,,,,,,,,,,,,,
1031,ENSGALG00010027944,17,2134606,2141755,1,WD repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:21421],WDR31,protein_coding,ENSGALG00010027948,17,2141931,2150968,-1,pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349],PRPF4,protein_coding,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,ENSAPLG00000006902,18,1365432,1379166,1,WD repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:21421],WDR31,protein_coding,ENSAPLG00000006534,18,1379392,1386880,-1,pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349],PRPF4,protein_coding,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,ENSCJPG00005016057,17,806047,810315,1,WD repeat domain 31 [Source:NCBI gene;Acc:107321594],WDR31,protein_coding,ENSCJPG00005016058,17,810992,816402,-1,pre-mRNA processing factor 4 [Source:NCBI gene;Acc:107321591],PRPF4,protein_coding,677,,,,,,,,,,,,,,,,,,
1032,ENSGALG00010027948,17,2141931,2150968,-1,pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349],PRPF4,protein_coding,ENSGALG00010027950,17,2150475,2154862,1,cell division cycle 26 [Source:NCBI gene (formerly Entrezgene);Acc:417269],CDC26,protein_coding,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,ENSAPLG00000006534,18,1379392,1386880,-1,pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349],PRPF4,protein_coding,ENSAPLG00000017585,18,1386991,1387341,1,cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839],CDC26,protein_coding,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,ENSCJPG00005016058,17,810992,816402,-1,pre-mRNA processing factor 4 [Source:NCBI gene;Acc:107321591],PRPF4,protein_coding,ENSCJPG00005016059,17,816532,816873,1,cell division cycle 26 [Source:NCBI gene;Acc:107321604],CDC26,protein_coding,130,,,,,,,,,,,,,,,,,,
